source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_rooms,sqft,listing_code
omnv-ORV355,Greater Portland-Area Vet Practice for Sale,,OR,,1160000,Small Animal,"2 exam rooms. Single DVM grossing $1.16 mil. Owner will continue working. 1,600-sf well-maintained, leased facility. High-visibility shopping complex, growing suburban area of upper middle class. Cornerstone Management Software. Contact Jim Vander Mey at 360-941-2341 or jim@omni-pg.com for more information. Lic.#201220298 (Omni Practice ID: ORV355)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/orv355/,2,,ORV355
omnv-ORV364,"Portland, OR Area Small Animal Clinic with 3 DVMs",Portland,OR,,1030000,Small Animal,"Portland area small animal clinic. Gross $1.03mil, 3 DVMS, leased facility. Conveniently located with high visibility within a busy shopping complex near major box stores. Ample parking. Contact Steve Kikikis at 425-905-6920 or steve@omni-pg.com for more information. Lic.#201258508 (OMNI Practice ID: ORV364)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/orv364/,,,ORV364
omnv-WAV3118,Central Washington Small Animal Clinic,,WA,,630000,Small Animal,"Located in a desirable area with year-round recreation! Profitable practice grossing $630k. Retiring Doctor would stay on if desired. 2,800-sf leased space in a beautiful, single-story building with state-of-the-art equipment. Metal siding, granite counters, high ceilings, concrete flooring, and great natural light. Contact Steve Kikikis at 425-905-6920 or steve@omni-pg.com for more information. Lic.#94563 (OMNI Practice ID: WAV3118)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3118/,,,WAV3118
omnv-WAV3151,Tri-Cities Small Animal Clinic & Real Estate ***Motivated Seller***,,WA,,843000,Small Animal,"Tri-Cities small animal clinic for sale. Successful, growing practice with high cash flow. Single doc grossing $843k. Easy access, high-visibility location just off interstate near city center and conveniences. Digital x-ray and other specialty equipment. Sizeable space at 3,700 sf.​ Real estate is available. ​Pillar of the community for over 70 years! Motivated Seller! Make an Offer! Contact Steve Kikikis at 425-905-6920 or steve@omni-pg.com for more information. Lic.#94563 (OMNI Practice ID: WAV3151)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3151/,,,WAV3151
omnv-WAV3158,"Okanogan County, WA Veterinary Practice for Sale",Okanogan County,WA,,347000,Small Animal,Very nice facility. 1 DVM. Grossing $347k. Real Estate could be included. Excellent opportunity to get into practice ownership,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3158/,,,WAV3158
omnv-WAV3160,"Snohomish County, WA Small Animal Clinic for Sale",Snohomish County,WA,,1100000,Small Animal,"This well-established veterinary practice is located in a thriving and growing community, boasting an outstanding reputation for quality care. The clinic generates a gross revenue of $1.1 million with a strong net income, providing a solid financial foundation for a new owner. The facility features modern, clean construction and has recently undergone renovations, creating an inviting and professional environment for clients and staff alike. Currently staffed by one full-time DVM and a stable, experienced team, this practice offers an excellent opportunity for a veterinarian seeking ownership ",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3160/,,,WAV3160
omnv-WV3008,MUST SELL! PRICE REDUCED! Yakima County Small Animal Vet Practice,,WV,,400000,Small Animal,"MUST SELL! PRICE REDUCED! Profitable veterinary practice for sale in the heart of wine country in Yakima County. Collections of $400,000, with business being turned away! Corner lot on the main thoroughfare. Favorable lease, 3 separate kennel rooms (overnight allowed). Associate-to-own opportunity. Grow the practice and/or have seller stay on part time. Contact Steve Kikikis at 425-905-6920 or steve@omni-pg.com for more information. Lic.#94563 (OMNI Practice ID: WV3008)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wv3008/,,,WV3008
omnv-CAV3027,Redwood Valley Veterinary Hospital,,CA,,,Small Animal,"Price Reduced! Must Sell! Practice priced at $75,000.00. Rare opportunity to own a veterinary practice located in Redwood Valley, the heart of Mendocino County. Make an offer on this wonderful location!",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3027/,,,CAV3027
omnv-CAV3045,"Thriving Sonoma County Veterinary Practice: High Revenue, Modern Facility, & Real Estate Option",,CA,,,Small Animal,"This is an exceptional opportunity to acquire a highly successful, high-performing veterinary practice in the desirable Sonoma County area. This is a turn-key hospital experiencing significant growth. Over $1.6 Million in Gross Annual Revenue. Strong and consistent client base. Remodeled facility with over 2,600 square feet. Real estate also available for purchase. Contact Kim Ford at 805-452-6588 or kim@omni-pg.com for more information. Lic.#2205339 (OMNI Practice ID: CAV3045)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3045/,,2600,CAV3045
omnv-ORV365,"Vet Practice and Real Estate for Sale near Lincoln City, OR - Strong Income and Excellent Reputation.",Vet Practice And Real Estate For Sale Near Lincoln City,OR,,,Small Animal,"20 minutes from Lincoln City. Well-established, single-DVM small animal clinic generating $840k in annual revenue. Excellent reputation. Great work/life balance. Financing available!",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/orv365/,,,ORV365
omnv-CAV3047,Santa Barbara County Veterinary Hospital - Fantastic Opportunity in a Great Location. Must Sell! Make an Offer!,,CA,,,Small Animal,"$450k OBO! Unique opportunity to own a practice in a prime Santa Barbara County location! Practice must sell. Make an offer! Room to expand, lots of potential. This practice is priced to sell, presenting a lucrative business endeavor.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3047/,3,2800,CAV3047
omnv-PAV102,"Upper Darby, PA Veterinary Practice for Sale",Upper Darby,PA,700000,,Small Animal,"Fully-staffed, turn-key vet hospital with real estate. Boarding and grooming revenue streams with exotic and small animal services. Offered at $700K.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/pav102/,,1500,PAV102
omnv-CAV3046,"Large, Modern, LA County Veterinary Hospital with Excellent Cash Flow for Sale","Large, Modern",LA,,,Small Animal,"LA County Veterinary Hospital. Modern, turn-key practice, 3 exam rooms, over 4,300 sf, abundant parking. Collections over $1.4M in 2024, with higher revenue anticipated for 2025. Excellent cash flow. Revenue has been increasing each year. Wonderful opportunity for a buyer looking for a successful practice with room to grow. Real estate also available. Contact Kim Ford at 805-452-6588 or kim@omni-pg.com for more information. Lic.#2205339 (OMNI Practice ID: CAV3046)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3046/,3,,CAV3046
omnv-AZV330,"West Maricopa County, AZ Established Veterinary Hospital",West Maricopa County,AZ,,,Small Animal,"$1M+ revenue, 2 exam rooms, Treatment & Surgery rooms, ample parking. Growing. Corral & Trailer area. 1,900+ square feet.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/azv330/,2,,AZV330
omnv-WAV3161,"Beautiful Vancouver, WA Veterinary Practice for Sale",Vancouver,WA,,,Small Animal,Vancouver veterinary practice for sale. 2 DVMs. Excellent location with high visibility. Beautiful buildout. Grossing $1.1M. Contact Steve Kikikis at 425-905-6920 or steve@omni-pg.com for more information. Lic.#94563 (OMNI Practice ID: WAV3161),Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3161/,,,WAV3161
omnv-CAV3052,"Thoughtfully Designed, Modern Veterinary Hospital in Popular Humboldt County, CA Location","Thoughtfully Designed, Modern Veterinary Hospital In Popular Humboldt County",CA,,,Small Animal,State-of-the art hospital in a fast growing community. 4 exam rooms. Room to greatly expand revenue. Owner will consider selling real estate.,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3052/,4,,CAV3052
omnv-CAV3053,"New, Modern, Well-Equipped, 2.5-DVM Practice in West LA",,CA,,,Small Animal,"Rare opportunity to own a state-of-the art practice in a prized West LA location! New, beautiful, modern 3,500-sf hospital. 4 exam rooms. Potential to expand.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3053/,4,,CAV3053
omnv-ORV367,"Bend, OR Small Animal Clinic with High Visibility & Strong Income for Sale",Bend,OR,,764000,Small Animal,Single-DVM practice with two exam rooms grossing $764K. Strong net cashflow. Excellent reputation in the community. High-visibility clinic. New to the market!,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/orv367/,,,ORV367
omnv-ORV368,"Clackamas County, OR Veterinary Practice for Sale Near I-5",Clackamas County,OR,,,Small Animal,"Overview: Exceptional opportunity to acquire a well-established, single-doctor (1 DVM) small animal veterinary practice located in desirable Clackamas County, near the I-5 corridor. The practice has a long history of service and enjoys an excellent reputation within the community for high-quality, compassionate care. Business Highlights: - Consistent profitability with strong historical financial performance - Loyal client base with steady new client growth - Efficient operations supported by experienced staff - Equipped treatment and exam areas with modern diagnostic capabilities - Turn-key t",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/orv368/,,,ORV368
omnv-CAV3055,"Opportunity to Own a Profitable 3-Exam-Room Practice in a Popular Riverside County, CA Location",Opportunity To Own A Profitable 3-Exam-Room Practice In A Popular Riverside County,CA,,,Small Animal,"Consistent gross above $1.3M with excellent cash flow. Clean, well-designed facility with modern, well-maintained equipment.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3055/,,,CAV3055
omnv-NYV104,Very Profitable Specialty Veterinary Practice in NYC for Sale,,NY,,,Emergency/Specialty,Highly profitable and progressive mobile medicine referral practice. Over $1.1M in collections. Serves approx. 40 veterinary hospitals with exponential growth!,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/nyv104/,,,NYV104
omnv-CAV3023,"El Dorado County, CA Beautiful and Modern Veterinary Hospital",El Dorado County,CA,,,Small Animal,Must be seen to be appreciated! Rare find with real estate for sale. Over $1.2 Million in collections. Not far from Sacramento.,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3023/,,,CAV3023
omnv-ORV332,"Portland, OR Suburb Veterinary Practice/Building for Sale",Portland,OR,,,Small Animal,"This is a great opportunity to purchase a well-established South-of-Portland Suburban Veterinary Clinic. The practice currently has 1.5 DVMs, a great reputation, a strong support staff, and is quite profitable with a strong cash flow and 2024 EBITDA of $115k. The building is also available for purchase or lease. Contact Steve Kikikis at 425-905-6920 or steve@omni-pg.com for more information. Lic.#201258508 (OMNI Listing ID: ORV332)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/orv332/,,,ORV332
omnv-CTV101,Urgent Care/GP Hospital in CT for Sale with >$1M EBITDA,,CT,,,Small Animal,"Profitable $3.5M hybrid (GP/Urgent Care) SA hospital in Hartford/New Haven area for sale. Rapidly growing, with modern facilities and top-rated care.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/ctv101/,,,CTV101
omnv-AZV325,Southwestern US Veterinary Practice with Incredible Cash Flow,,AZ,13000000,,Small Animal,"$6.7mil in sales. $1.35mil EBITDA. Located in southwestern United States. 4 FT DVMs and a few PT. State-of-the-art facility and equipment, 7 exam rooms. Price: $13mil or best offer.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/azv325/,7,,AZV325
omnv-VAV104,"Well-Established Veterinary Practice near Washington, D.C. for Sale",,VA,,,Small Animal,"Well-established small animal practice near Washington, D.C. | Strong and loyal client base | High visibility on main road | Strong growth potential.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/vav104/,,,VAV104
omnv-AZV311,South-Central Arizona Small Animal Clinic,,AZ,,1300000,Small Animal,"Gross $1.3mil, 1.5 associate DVMs plus the owner makes it 2 DVM equivalent. Great location just off busy thoroughfare, high visibility near shopping and residential. Digital x-ray and dental. Large facility with room to grow. AHAA and AAFP certified. South Central Arizona. Contact Jim Vander Mey at 360-941-2341 or jim@omni-pg.com for more information. Lic.#SA688858000 (OMNI Practice ID: AZV311)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/azv311/,6,4000,AZV311
omnv-NHV103,"Grafton County, NH General Vet Practice with $680k Revenue",Grafton County,NH,,,Small Animal,"This highly profitable small animal GP hospital with approximately $680k in total collections and strong profit margin has a positive reputation in the community in providing personable services, minimal turnover of team members, practicing high standards of care, and a modern facility that can be expanded with urgent care, boarding, and grooming services. This practice has provided the utmost quality of care in the Grafton County areas since 2019 and has received many notable recognitions. It has a strong brand and reputation where clients appreciate the consistency of familiar faces and prom",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/nhv103-2/,,,NHV103
omnv-COV103,"South Denver, CO, 20-Year Well-Established Veterinary Hospital",South Denver,CO,,,Small Animal,"1,900 sf, $900k revenue, 2 exam rooms, large treatment area & surgery suite. Affluent client base, ample parking. Contact Max at 970-306-7472 or max@omni-pg.com for more information. Lic.#F00106975. (OMNI Practice ID: COV103)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cov103/,2,1900,COV103
omnv-TXV114,San Antonio Veterinary Clinic for Sale with Real Estate,,TX,,,Small Animal,"Well-established small animal clinic located in San Antonio, Texas poised for growth in a strategic location. Real Estate included.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/txv114/,,,TXV114
omnv-WAV3166,Two-DVM Snohomish County Veterinary Practice for Sale,,WA,,,Small Animal,"Two DVMs, +$1.5m EBITDA, High-Visibility Location Sellers willing to stay for the long term, qualified buyers only. Near I-5 corridor. Contact Steve Kikikis at 425-905-6920 or steve@omni-pg.com for more information. Lic.#94563 (OMNI Practice ID: WAV3166)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3166/,,,WAV3166
omnv-RIV101,"Kent County, RI Small Animal Hospital with Growth Potential",Kent County,RI,,,Small Animal,"Kent County, RI - Small Animal Hospital for Sale | Modern Facility, Loyal Client Base, Expansion Potential, and Urgent Care Growth Opportunity",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/riv101/,,,RIV101
omnv-WAV3168,"Rare Feline-Only Practice in High-Growth Snohomish County — 34-Year Legacy, Immediate Opportunity",,WA,,,Small Animal,"For over three decades, the Cat Clinic Snohomish County has been the go-to destination for cat owners across one of the Seattle metro's fastest-growing suburban corridors. Now, after 31 years, the sole owner is retiring — and this extraordinary practice is available for the first time.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3168/,,,WAV3168
omnv-WAV3167,"Pacific County, WA Small Animal Veterinary Practice for Sale with Real Estate -- High Net Income!",Pacific County,WA,,868000,Small Animal,"An exceptional opportunity to acquire a thriving, well-established small animal general practice in Pacific County, Washington. This is a highly reputable, solo-DVM practice with a loyal, long-standing client base and a strong track record of consistent revenue growth. Real Estate will be sold with the practice!",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3167/,,,WAV3167
omnv-TXV113,"Profitable Small Animal Hospital in Dallas, TX Suburb for Sale",Small Animal Hospital In Dallas,TX,,,Small Animal,"Turnkey opportunity ideal for first-time buyer or expansion! Long history of serving loyal clients with dependable, compassionate care.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/txv113/,,,TXV113
omnv-IDV310,Central Idaho Small Animal Practice,,ID,,650000,Small Animal,"Single-doc practice grossing $650K. Nice large facility, room to expand. Could support large animal if desired. Real estate available. Digital X-ray, 1-year-old Ultrasound, Avimark software. 2 LVTs. Contact Rod Johnston at 206-979-2660 or rod@omni-pg.com for more information. Lic.#DB49245 (OMNI Practice ID: IDV310)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/idv310/,,,IDV310
omnv-MAV109,"Franklin County, MA Small Animal General Practice for Sale",Franklin County,MA,,,Small Animal,"This picturesque and renovated New England-style 1,797-sf small animal general practice is available for sale in a calm and peaceful setting. Real estate is available with the practice. Loyal clientele. Collections over $800k, with top sources of revenue being pharmacy, exams, and surgery. Practice is busy with 368 visits a month and growing about 15 new patients per month. Contact Rohit Malhotra at 234-353-3268 or rohit@omni-pg.com for more information. (Omni Practice ID: MAV109)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/mav109-2/,,,MAV109
